"구형","prosecutor's proposal of punishment for the accused","","형사 재판에서, 법에 따라 피고인이 받을 형벌의 종류와 양을 검사가 판사에게 요구함.",""
"구형","spherical shape","","공같이 둥근 모양.",""
"구형되다","(a penalty) be demanded","","형사 재판에서, 법에 따라 피고인에게 줄 형벌의 종류와 양을 판사가 검사에게 요구받다.",""
"구형하다","demand a penalty","","형사 재판에서, 법에 따라 피고인이 받을 형벌의 종류와 양을 검사를 통해 판사에게 요구하다.",""
"구호","relief; aid","","재난이나 재해를 당한 사람을 도와서 보호함.",""
"구호","slogan; rallying cry; catchphrase","","요구나 주장, 생각 등을 나타내는 짧은 말이나 글.",""
"구호물자","relief; aid","","재난이나 재해를 당한 사람을 돕는 데 필요한 물품.",""
"구호품","relief; aid","","재난이나 재해를 당한 사람을 돕기 위한 물품.",""
"구호하다","give aid; help","","재난이나 재해를 당한 사람을 도와서 보호하다.",""
"구혼","looking for a spouse","","결혼할 상대를 구함.",""
"구혼자","suitor; wooer","","결혼을 하자고 하는 사람.",""
"구혼하다","seek a spouse","","결혼할 상대를 구하다.",""
"구획","division; section; block","","땅이나 공간을 경계를 지어 나눔. 또는 그런 구역.",""
"구획되다","be divided; be partitioned","","땅이나 공간이 경계가 지어져 나뉘다.",""
"구획하다","divide; partition","","땅이나 공간을 경계를 지어 나누다.",""
"국가관","view of state; view of nation","","국가의 의의, 가치 등에 대한 견해나 태도.",""
"국가사업","national enterprise; national undertaking","","나라에서 하는 사업.",""
"국가수반","chief of state; head of state","","한 나라에서 최고의 권력을 가지고 나라를 다스리는 사람.",""
"국가시험","state examination; national examination","","일정한 자격이나 면허를 주기 위해 국가에서 시행하는 시험.",""
"국가적","being national; being state","","국가에 관련되는 것.",""
"국가적","national","","국가에 관련되는.",""
"국가주의","nationalism","","국가의 권력과 이익, 발전을 가장 중요한 것으로 생각하고 추구하는 방침이나 주장.",""
"국거리","soup ingredients","","국을 끓이는 데 넣는 재료.",""
"국격","national dignity; national status","","나라의 품격.",""
"국경","border; frontier","","나라와 나라의 국토를 나누는 경계.",""
"국경선","border line","","나라와 나라의 국토를 나누는 경계가 되는 선.",""
"국경일","national holiday","","나라의 경사를 기념하기 위해 법으로 정하여 축하하는 날.",""
"국고","national treasury; public money","","국가의 돈.",""
"국공립","national; public; government-established","","학교나 기관 등을 국가 또는 지방 자치 단체에서 세워 관리함.",""
"국교","diplomatic relations","","나라와 나라 사이의 외교 관계.",""
"국교","state religion","","나라에서 법으로 정하여 모든 국민이 믿도록 하는 종교.",""
"국군","national army","","나라를 지키기 위하여 조직한 군대.",""
"국권","national sovereignty","","나라가 행사하는 독립적이고 절대적인 권력.",""
"국그릇","soup bowl","","국을 담는 그릇.",""
"국기","national flag","","한 나라를 상징하는 깃발.",""
"국난","national crisis; national disaster","","나라 전체가 위태로울 정도의 어려움.",""
"국내","interior of a country; domestic territory","","나라의 안.",""
"국내법","domestic law; municipal law","","나라 안의 질서를 유지하기 위한 것으로, 한 나라의 주권이 미치는 범위 안에서 효력을 가지는 법.",""
"국내산","domestic; local; home-grown; home-manufactured","","자기 나라에서 생산함. 또는 그런 물건.",""
"국내선","local line; domestic service","","한 나라 안에서만 이용하는 철도, 항공, 통신 등의 노선.",""
"국내외","home and abroad; domestic and foreign","","나라의 안과 밖.",""
"국내적","local; domestic","","나라 안에 관계되는 것.",""
"국도","national road; state highway","","나라에서 직접 관리하는 주요 도로.",""
"국란","civil war; internal disturbance; rebellion","","나라 안에서 일어난 큰 난리.",""
"국력","national power; national strength","","한 나라가 정치, 경제, 문화, 군사 등 모든 분야에 걸쳐 가지고 있는 힘.",""
"국론","national opinion; public sentiment","","어떤 일이나 문제에 대해 국민 대부분이 가지고 있는 의견.",""
"국립","being national","","공공의 이익을 위하여 국가의 예산으로 설립하고 관리함.",""
"국립대","national university; state-run university","","국가에서 세워 직접 운영하고 관리하는 대학.",""
"국립묘지","national cemetery","","군인이나 나라를 위하여 공을 세운 사람들의 유해를 모셔 두려고 나라에서 만들어 관리하는 묘지.",""
"국면","aspect of affairs; situation","","어떤 일이 진행되어 가는 상황.",""
"국명","country name","","나라의 이름.",""
"국모","queen","","나라의 어머니라는 뜻으로, 임금의 부인.",""
"국무","state affairs; matters of state","","대통령이나 장관 등이 나라를 다스리고 이끌어 나가기 위해 다루는 국가적인 사무.",""
"국무총리","prime minister","","대통령을 보좌하고 국가적인 사무를 총괄하는, 장관들의 우두머리가 되는 공무원.",""
"국문","Korean","","그 나라 고유의 글자. 또는 그 글자로 쓴 글.",""
"국문학","Korean literature; the nation's literature","","자기 나라 고유의 문학. 또는 그것을 연구하는 학문.",""
"국물","soup","","국이나 찌개 등의 음식에서 건더기를 빼고 남은 물.",""
"국민","people; national; citizen","","한 나라를 구성하는 사람. 또는 그 나라 국적을 가진 사람.",""
"국민가요","popular song","","국민 모두에게 잘 알려져 모두가 쉽게 부를 수 있는 노래.",""
"국민성","national character","","한 나라의 국민 모두가 공통적으로 가지고 있는 가치관이나 특성.",""
"국민의례","pledge of allegiance","","공식적인 의식이나 행사에서 국기에 대한 경례, 애국가 제창과 같이 국민으로서 행하는 절차.",""
"국민장","national funeral","","대통령 등 나라의 발전에 큰 공로를 세운 자를 위해 국민의 이름으로 치르는 장례.",""
"국민적","national","","한 나라의 국민 모두와 관계하거나 관련된.",""
"국민적","relating to the nation","","한 나라의 국민 모두와 관계하거나 관련되는 것.",""
"국민차","people's car","","경제적으로 부담 없이 구입할 수 있도록 가볍고 작게 만든 자동차.",""
"국민학교","elementary school","","학교 교육의 첫 번째 단계로 만 여섯 살에 입학하여 육 년 동안 기본 교육을 받는 학교.",""
"국민학생","primary school student; elementary school student","","국민학교에 다니는 학생.",""
"국밥","gukbap","","뜨거운 국에 밥을 넣거나 국에 밥을 넣고 끓인 음식.",""
"국밥집","gukbapjip","","뜨거운 국에 밥을 넣은 음식이나 국에 밥을 넣고 끓인 음식을 파는 식당.",""
"국방","national defense","","다른 나라의 침입이나 위협으로부터 나라를 안전하게 지키는 일.",""
"국방력","national defense power","","다른 나라의 침입이나 위협으로부터 나라를 안전하게 지키는 힘.",""
"국방부","Ministry of Defense","","국토를 방위하고 외국의 침략에 대비하며 군사에 관한 사무를 맡아 보는 중앙 행정 기관.",""
"국방비","national defense expenditure; defense spending","","다른 나라의 침입이나 위협으로부터 나라를 안전하게 지키는 데 사용되는 비용.",""
"국방색","army green","","육군의 군복 색깔과 같이 갈색이 섞인 어두운 초록색.",""
"국번","area code; telephone exchange number","","전화가 가입되어 있는 구역을 나타내는 번호.",""
"국법","national law","","나라에서 정하여 국민이 따라야 하는 모든 법.",""
"국보","national treasure","","국가가 법으로 정해 보호하고 관리하는 문화재.",""
"국부","father of his country","","나라를 세우는 일에 공로가 커서 국민에게 존경받는 위대한 지도자.",""
"국부","local","","전체 중 어느 한 부분.",""
"국부","national wealth","","한 나라가 지닌 경제력.",""
"국부적","local","","전체 중 어느 한 부분의.",""
"국부적","portion","","전체의 어느 한 부분인 것.",""
"국비","public funds; government expenses","","국가 재정으로 부담하는 비용.",""
"국빈","state guest","","나라에서 정식으로 초대한 귀한 외국 손님.",""
"국사","national affairs","","나라에 관한 중요한 일.",""
"국사","national history","","한 나라의 역사.",""
"국산","being domestic","","자기 나라에서 생산함. 또는 그 물건.",""
"국산품","domestic product","","다른 나라에서 수입하지 않고 자기 나라에서 만든 물품.",""
"국산화","domestic production","","필요한 물품을 다른 나라에서 수입하지 않고 자기 나라에서 만듦.",""
"국산화하다","localize","","필요한 물품을 다른 나라에서 수입하지 않고 자기 나라에서 만들다.",""
