"유래담","story of origin","","사물이나 일이 생겨난 것에 대한 이야기.",""
"유래되다","originate","","사물이나 일이 생겨나게 되다.",""
"유래하다","originate","","사물이나 일이 생겨나다.",""
"유럽","Europe","","아시아의 서북쪽에 있는 육대주의 하나. 우랄산맥을 사이에 두고 아시아와 접해 있으며 프랑스, 독일, 이탈리아 등의 나라가 위치한다.",""
"유려하다","fluent; refined; flowing","","글이나 말, 곡선 등이 거침없이 미끈하고 아름답다.",""
"유력","being strong; being rich","","힘이나 재산이 있음.",""
"유력시되다","look highly possible","","가능성이 많다고 보이다.",""
"유력시하다","think something highly possible","","가능성이 많다고 보다.",""
"유력자","influential person; big gun","","힘이나 재산이 있는 사람.",""
"유력하다","strong; rich; powerful","","힘이나 재산이 있다.",""
"유령","ghost; phantom; spook","","죽은 사람의 혼령.",""
"유례","similar example","","같거나 비슷한 예.",""
"유례없다","unparalleled","","같거나 비슷한 예가 없다.",""
"유례없이","with no similar example","","같거나 비슷한 예가 없이.",""
"유로","euro","","유럽 연합의 화폐 단위.",""
"유로","Euro","","유럽 연합의 공식 화폐인 유럽 단일 통화의 이름.",""
"유료","being paid; being charged","","요금을 내게 되어 있음.",""
"유류","oil","","기름의 여러 종류.",""
"유리","being profitable; being beneficial","","이익이 됨.",""
"유리","glass","","투명하고 단단하며 잘 깨지는, 창문이나 거울 등에 사용되는 물질.",""
"유리","isolation","","따로 떨어짐.",""
"유리그릇","glass container","","유리로 만든 그릇.",""
"유리되다","be isolated","","따로 떨어지게 되다.",""
"유리문","glass door","","유리를 끼워 만든 문.",""
"유리병","glass bottle; glass jar","","유리로 만든 병.",""
"유리수","rational number","","정수나 분수의 형식으로 나타낼 수 있는 수.",""
"유리잔","glass","","유리로 만든 잔.",""
"유리창","window glass","","유리를 끼워 만든 창.",""
"유리컵","glass cup","","유리로 만든 컵.",""
"유리하다","favorable; advantageous","","이익이 있다.",""
"유리하다","isolate","","따로 떨어지다.",""
"유린","violation; infringement","","남의 권리나 인격을 마구 억누르거나 짓밟음.",""
"유린당하다","violated; infringed","","권리나 인격이 마구 억눌리거나 짓밟히는 일을 당하다.",""
"유린되다","violated; infringed","","권리나 인격이 마구 억눌리거나 짓밟히다.",""
"유린하다","violate; infringe","","남의 권리나 인격을 마구 억누르거나 짓밟다.",""
"유림","Confucian scholars","","유학을 따르고 공부하는 무리.",""
"유망","hopefulness","","앞으로 잘될 것 같은 희망이나 가능성이 있음.",""
"유망주","prospect","","(비유적으로) 어떤 분야에서 앞으로 잘될 가능성이 많은 사람.",""
"유망하다","promising; hopeful","","앞으로 잘될 것 같은 희망이나 가능성이 있다.",""
"유머","humor; joke","","남을 웃기는 행동이나 말.",""
"유머러스하다","humorous","","행동이나 말이 우습고 재미있다.",""
"유명","being famous; being popular","","이름이 널리 알려져 있음.",""
"유명무실","being nominal; name only","","이름만 보기에 번듯하고 실속은 없음.",""
"유명무실하다","nominal; name only","","이름만 보기에 번듯하고 실속은 없다.",""
"유명세","the price of fame; toll of being a celebrity","","(속된 말로) 이름이 세상에 널리 알려진 탓에 생기는 불편이나 어려움.",""
"유명하다","famous; popular","","이름이 널리 알려져 있다.",""
"유모","nanny","","어머니를 대신하여 아이에게 젖을 먹여 길러 주는 여자.",""
"유모차","stroller","","어린아이를 태우고 다니는 조그만 수레.",""
"유목","nomadism","","소나 양과 같은 가축이 먹을 풀과 물을 찾아 옮겨 다니면서 삶.",""
"유목민","nomad","","소나 양과 같은 가축이 먹을 풀과 물을 찾아 옮겨 다니면서 사는 민족.",""
"유무","existence and nonexistence","","있음과 없음.",""
"유물","relic; remains; antiquity","","앞선 시대에 살았던 사람들이 후대에 남긴 물건.",""
"유발","causing; provoking; triggering","","어떤 것이 원인이 되어 다른 사건이나 현상을 일어나게 함.",""
"유발되다","be caused; be provoked; be triggered","","어떤 것이 원인이 되어 사건이나 현상이 일어나다.",""
"유발하다","cause; provoke; trigger","","어떤 것이 원인이 되어 다른 사건이나 현상을 일어나게 하다.",""
"유방","breast","","젖을 내보내기 위한 기관으로 포유류의 가슴이나 배에 달려 있는 볼록한 부분.",""
"유방암","breast cancer","","유방에 생기는 암.",""
"유배","exile; banishment","","(옛날에) 죄인에게 형벌을 주어 먼 시골이나 섬으로 보냄.",""
"유배당하다","be exiled; be banished","","(옛날에) 죄인이 형벌을 받아 먼 시골이나 섬으로 보내지다.",""
"유배되다","be exiled; be banished","","(옛날에) 죄인이 형벌을 받아 먼 시골이나 섬으로 보내지다.",""
"유배지","place of exile","","(옛날에) 죄인이 형벌을 받고 일정 기간 동안 보내져 머물던 장소.",""
"유별","being different","","서로 다름이 있음.",""
"유별나다","distinctive; special","","보통 것과 크게 다르다.",""
"유별하다","different","","서로 다름이 있다.",""
"유보","reservation","","어떤 일의 처리를 당장 하지 않고 뒤로 미룸.",""
"유보되다","be reserved","","어떤 일의 처리가 당장 이루어지지 않고 뒤로 미루어지다.",""
"유보하다","reserve","","어떤 일의 처리를 당장 하지 않고 뒤로 미루다.",""
"유복자","posthumous child","","아버지가 죽고 나서 태어난 자식.",""
"유복하다","wealthy; affluent; opulent","","살림이 넉넉하고 부유하다.",""
"유부","fried tofu","","얇게 썰어 기름에 튀긴 두부.",""
"유부남","married man","","아내가 있는 남자.",""
"유부녀","married woman","","남편이 있는 여자.",""
"유분","sebum; oil","","어떤 것에 묻어 있거나 섞여 있는 기름기.",""
"유분수","boundary","","사람으로서 마땅히 지켜야 할 한계가 있음.",""
"유비무환","Forewarned, forearmed","","미리 준비를 해 놓으면 걱정할 것이 없음.",""
"유사","being similar","","서로 비슷함.",""
"유사","start of history","","인류의 문명이 발전하여 역사가 시작됨.",""
"유사성","similarity","","서로 비슷한 성질.",""
"유사시","case of emergency","","뜻밖에 아주 긴급한 일이 일어날 때.",""
"유사점","similarity","","서로 비슷한 점.",""
"유사품","imitation","","어떤 물건과 비슷하게 만든 물품.",""
"유사하다","similar","","서로 비슷하다.",""
"유산","inheritance","","죽은 사람이 남겨 놓은 재산.",""
"유산","miscarriage","","배 속에 있는 아기가 달이 차기 전에 죽어서 나옴.",""
"유산균","lactobacillus; lactic acid bacteria the bacteria","","당류를 분해하여 젖산을 만드는 균.",""
"유산되다","be miscarried","","배 속에 있는 아기가 달이 차기 전에 죽어서 나오다.",""
"유산하다","miscarry","","배 속에 있는 아기가 달이 차기 전에 죽어서 나오다. 또는 그렇게 되게 하다.",""
"유상","being at a cost","","어떤 행위에 대해 보상이 있음.",""
"유색","being colored","","색이 있음.",""
