"뺏다","snatch; deprive; strip","","다른 사람이 가진 것을 강제로 없애거나 자기 것으로 하다.",""
"뺑","round; around","","일정한 둘레를 한 바퀴 도는 모양.",""
"뺑덕어멈","Ppaengdeogeomeom","","고전 소설 ‘심청전’에 나오는 인물 중 하나. 심청이의 계모로 심술궂고 수다스럽다. 심청이가 떠난 후 심 봉사의 재산을 탕진하고 결국에는 심 봉사를 버리고 떠나는 인물이다.",""
"뺑뺑이","spinning wheel; being at random; drawing of lots","","이름이나 숫자 등이 적힌 둥근 판을 돌리고 화살 같은 것으로 그것을 맞혀 어떤 등급 등을 정하는 기구.",""
"뺑소니","hit-and-run; running away; flight","","급하게 몰래 달아나는 것.",""
"뺑소니치다","hit and run; take oneself off","","급하게 몰래 달아나다.",""
"뺨","cheek","","얼굴에서 양쪽 눈 아래에 있는 통통한 부분.",""
"뺨따귀","cheek","","(속된 말로) 뺨.",""
"뺨치다","outshine; put someone to shame","","(속된 말로) 어떤 것을 능가하다.",""
"뻐개다","split; cleave; chop","","크고 단단한 물건을 두 쪽으로 가르다.",""
"뻐근하다","stiff","","근육이 당기어 아프고 움직이기가 어렵다.",""
"뻐근히","stiffly","","근육이 당기어 아프고 움직이기가 어렵게.",""
"뻐기다","brag; show off","","미울 정도로 잘난 척하며 자랑하다.",""
"뻐꾸기","cuckoo","","몸은 회색 빛을 띤 청색이며, 다른 새의 둥지에 알을 낳는 새.",""
"뻐꾹","cuckoo","","뻐꾸기가 우는 소리.",""
"뻐꾹뻐꾹","cuckoo","","뻐꾸기가 계속해서 우는 소리.",""
"뻐끔","with puffs","","연기를 세게 들이마셨다 내뱉었다 하면서 담배를 피우는 모양.",""
"뻐끔거리다","puff","","연기를 세게 들이마셨다 내뱉었다 하면서 자꾸 담배를 피우다.",""
"뻐끔대다","puff","","연기를 세게 들이마셨다 내뱉었다 하면서 자꾸 담배를 피우다.",""
"뻐끔뻐끔","with puffs","","연기를 세게 들이마셨다 내뱉었다 하면서 담배를 자꾸 피우는 모양.",""
"뻐끔뻐끔하다","puff","","연기를 세게 들이마셨다 내뱉었다 하면서 담배를 자꾸 피우다.",""
"뻐끔하다","puff","","연기를 세게 들이마셨다 내뱉었다 하면서 담배를 피우다.",""
"뻐드렁니","bucktooth; protruding front teeth","","바깥 쪽으로 조금 나온 앞니.",""
"뻑뻑","scrapingly; with a scratching sound","","자꾸 긁거나 여기저기 마구 문지르는 소리. 또는 그 모양.",""
"뻑뻑","with puffs","","담배를 자꾸 아주 세게 빠는 소리. 또는 그 모양.",""
"뻑뻑하다","thick; stiff","","물기가 적어서 부드럽지 않다.",""
"뻑적지근하다","heavy and painful","","근육이 몹시 피로하여 아픈 기운이 있다.",""
"뻔","ppeon","","어떤 일이 일어날 수 있었으나 결국 그렇게 되지 않았음을 나타내는 말.",""
"뻔뻔스럽다","shameless","","부끄러운 짓을 하고도 태연하고 당당한 태도이다.",""
"뻔뻔스레","shamelessly","","부끄러운 짓을 하고도 태연하고 당당한 태도로.",""
"뻔뻔하다","shameless","","부끄러운 짓을 하고도 태연하고 당당하다.",""
"뻔뻔히","shamelessly","","부끄러운 짓을 하고도 태연하고 당당하게.",""
"뻔지르르","greasily; slipperily; sleekly","","겉에 기름이나 물이 묻어서 윤이 나고 미끄러운 모양.",""
"뻔지르르하다","slippery; sleek","","겉에 기름이나 물이 묻어서 윤이 나고 미끄럽다.",""
"뻔질나다","frequent","","드나들거나 연락하는 일 등이 매우 자주 있다.",""
"뻔하다","evident; palpable; plain","","깊이 생각해 보지 않아도 알 수 있을 만큼 상황이나 사정이 확실하거나 분명하다.",""
"뻔하다","ppeonhada","","앞의 말이 나타내는 상황이 거의 일어날 것 같다가 일어나지 않음을 나타내는 말.",""
"뻔히","obviously","","어떤 일의 결과나 상태 등이 눈에 보이듯 분명하게.",""
"뻗다","stretch; extend; run","","나뭇가지나 덩굴, 뿌리 등이 길게 자라나다. 또는 그렇게 하다.",""
"뻗대다","resist; hold out; hold fast to","","어떤 것을 하지 않으려고 고집스럽게 버티다.",""
"뻗쳐오르다","soar up; go up","","물줄기나 불길 등이 위를 향해 세게 오르다.",""
"뻗치다","stretch; extend; run","","(강조하는 말로) 나뭇가지나 덩굴, 뿌리 등이 길게 자라나다.",""
"뻗히다","be straightened","","구부리고 있던 몸의 일부가 쭉 펴지다.",""
"뻘겋다","crimson; deep red","","약간 어두운 빛을 띠며 진하게 붉다.",""
"뻘게지다","redden; blush; become red","","뻘겋게 되다.",""
"뻘뻘","freely; in the manner of running around","","여기저기를 몹시 바쁘게 돌아다니는 모양.",""
"뻘뻘","profusely; drippingly","","땀을 아주 많이 흘리는 모양.",""
"뻣뻣이","stiffly","","어떤 물체가 부드럽지 않고 굳고 단단하게.",""
"뻣뻣하다","stiff","","어떤 물체가 부드럽지 않고 굳고 단단하다.",""
"뻥","boom; pop","","풍선이나 폭탄 등이 갑자기 시끄럽게 터지는 소리.",""
"뻥긋하다","open one's mouth to speak","","어떤 일에 대해서 말을 하려고 입을 조금 벌리다.",""
"뻥뻥","boom; pop","","풍선이나 폭탄 등이 갑자기 계속해서 시끄럽게 터지는 소리.",""
"뻥튀기","puffed snack","","쌀, 감자, 옥수수 등을 튀겨 낸 과자.",""
