"문고리","doorknob; door handle","","문을 열고 닫거나 잠그는 데 쓰는 쇠로 만든 고리.",""
"문고본","paperback; pocketbook","","책을 널리 보급하기 위해 가지고 다니기 편하도록 작은 크기로 만든 책.",""
"문고판","paperback; pocketbook","","책을 널리 보급하기 위해 싼 가격에 작은 크기로 만드는 책의 판.",""
"문과","liberal arts","","문학, 철학, 심리학, 역사학 등의 인문과 사회 분야를 연구하는 학과. 또는 그런 학문.",""
"문관","civil official in military","","군인이 아니면서, 군대에서 사무를 보는 관리.",""
"문구","stationery; writing supplies","","노트, 연필 등 공부를 하거나 사무를 보는 데 필요한 도구.",""
"문구","words; phrase","","특정한 뜻을 나타내는, 몇 낱말로 된 말.",""
"문구멍","hole in door","","문에 뚫린 구멍.",""
"문구점","stationery store","","종이, 연필, 지우개 등의 공부를 하거나 사무를 보는 데에 필요한 물건들을 파는 가게.",""
"문기둥","doorpost","","문을 끼워 달기 위해 문의 양쪽에 세운 기둥.",""
"문단","literary circle; literary world","","문학과 관련된 일을 하는 사람들이 활동하는 분야.",""
"문단","paragraph","","글에서 여러 문장들이 모여 하나의 완결된 생각을 나타내는 단위.",""
"문단속","locking up","","사고가 없도록 문을 잘 닫아 잠그는 일.",""
"문답","question and answer","","서로 묻고 대답함.",""
"문답식","question and answer","","서로 묻고 대답하는 방식.",""
"문답하다","question and answer","","서로 묻고 대답하다.",""
"문대다","rub","","여기저기 마구 문지르다.",""
"문둥병","leprosy; Hansen's disease","","(낮잡아 이르는 말로) 나병.",""
"문둥이","leper","","(낮잡아 이르는 말로) 나환자.",""
"문드러지다","rot; decay; decompose","","썩거나 물러서 본래의 모양이 없어지다.",""
"문득","suddenly","","생각이나 느낌이 갑자기 떠오르는 모양.",""
"문득문득","suddenly","","생각이나 느낌이 갑자기 자꾸 떠오르는 모양.",""
"문뜩","suddenly","","생각이나 느낌이 갑자기 떠오르는 모양.",""
"문뜩문뜩","suddenly","","생각이나 느낌이 갑자기 자꾸 떠오르는 모양.",""
"문란","disorder; confusion","","도덕이나 질서가 제대로 지켜지지 않아 어지러움.",""
"문란하다","disorderly; being in chaos","","도덕이나 질서가 제대로 지켜지지 않아 어지럽다.",""
"문리","understanding of writing","","글의 뜻을 깨달아 아는 힘.",""
"문맥","context","","서로 이어져 있는 문장의 앞뒤 의미 관계.",""
"문맹","illiteracy","","배우지 못하여 글을 읽거나 쓸 줄을 모름. 또는 그런 사람.",""
"문맹률","illiteracy rate","","배우지 못하여 글을 읽거나 쓸 줄 모르는 사람의 비율.",""
"문맹자","illiterate","","배우지 못하여 글을 읽거나 쓸 줄을 모르는 사람.",""
"문명","civilization","","사람의 물질적, 기술적, 사회적 생활이 발전한 상태.",""
"문명국","civilized country","","과학 기술이 발달하여 물질적으로 풍부하고 국민들의 의식과 문화 수준이 높은 나라.",""
"문명국가","civilized country","","과학 기술이 발달하여 물질적으로 풍부하고 국민들의 의식과 문화 수준이 높은 나라.",""
"문명사","history of civilization","","인류가 발달시켜 온 문명의 역사.",""
"문명사회","civilized society","","과학 기술이 발달하여 물질적으로 풍부하고 사람들의 의식과 문화 수준이 높은 사회.",""
"문명인","civilized man","","문명이 발달한 사회에서 사는, 의식이 있고 문화 수준이 높은 사람.",""
"문명하다","civilized","","기술적, 물질적, 정신적으로 발전되어 있다.",""
"문무","scholar and soldier","","문관과 무관.",""
"문무백관","civil and military officials","","문관과 무관을 포함한 모든 관리.",""
"문물","products of culture","","정치, 경제, 학문, 종교, 예술과 같은 문화의 산물.",""
