"실리적","practical; pragmatic","","실제로 이익을 얻는.",""
"실리콘","silicon","","생물의 결합 조직이나 뼈를 이루는 비금속 원소.",""
"실마리","beginning of entangled threads","","여러 겹으로 감겨 있거나 엉킨 실의 처음 부분.",""
"실망","disappointment","","기대하던 대로 되지 않아 희망을 잃거나 마음이 몹시 상함.",""
"실망감","feeling of disappointment","","기대하던 대로 되지 않아 희망을 잃거나 마음이 몹시 상한 느낌.",""
"실망스럽다","rather disappointed; disappointing","","기대하던 대로 되지 않아 희망을 잃거나 마음이 몹시 상한 데가 있다.",""
"실망시키다","disappoint","","기대하던 대로 되지 않아 희망을 잃게 하거나 마음을 몹시 상하게 하다.",""
"실망하다","be disappointed","","기대하던 대로 되지 않아 희망을 잃거나 마음이 몹시 상하다.",""
"실명","loss of sight","","시력을 잃어 앞을 못 보게 됨.",""
"실명","real name","","가명이나 별명이 아닌 진짜 이름.",""
"실명제","real-name notice system","","물건이나 서비스를 생산한 사람이나 판매한 사람, 사용하는 사람 등의 실제 이름을 밝히는 제도.",""
"실명하다","go blind; lose one's sight","","시력을 잃어 앞을 못 보게 되다. 또는 시력을 잃어 앞을 못 보다.",""
"실무","practical affairs; administrative work","","실제로 하는 업무나 사무.",""
"실무자","staff in charge; hands-on worker","","실제로 일을 맡아 처리하는 사람.",""
"실무적","working-level; being operational","","실제로 하는 업무나 사무와 관계되는 것.",""
"실무적","working-level; operational","","실제로 하는 업무나 사무와 관계되는.",""
"실물","real thing; real person","","사진이나 그림이 아닌 실제로 있는 물건이나 사람.",""
"실밥","seam; bits of thread","","옷을 뜯을 때 나오는 실의 부스러기.",""
"실뱀","small stringy snake","","몸이 실같이 가는 뱀.",""
"실비","actual expense; real cost","","어떤 일에 실제로 드는 돈.",""
"실비","drizzle; fine rain","","실같이 가늘게 내리는 비.",""
"실사","actual inspection; survey on-the-spot","","실제의 상황이나 상태 등을 조사하거나 검사함.",""
"실사하다","inspect; survey on the spot","","실제의 상황이나 상태 등을 조사하거나 검사하다.",""
"실상","actual condition; reality","","실제의 모양이나 상태.",""
"실상","actual conditions; real situation","","실제의 상태나 내용.",""
"실상","in fact; really","","사실에 있어서.",""
"실생활","real life","","이론이나 상상이 아닌 실제의 생활.",""
"실선","solid line","","끊어진 곳이 없이 계속 이어져 있는 선.",""
"실성","madness; insanity","","정신에 이상이 생겨 원래 가지고 있는 건강하고 온전한 정신을 잃음.",""
