"ㄱ","g","","한글 자모의 첫째 글자. 이름은 기역으로 소리를 낼 때 혀뿌리가 목구멍을 막는 모양을 본떠 만든 글자이다.",""
"가","edge; verge","","어떤 장소나 물건의 둘레나 끝부분.",""
"가","yes; pros; approval","","회의 등에서 어떤 안건에 대해 표결을 할 때 찬성한다는 표시.",""
"가가호호","every house","","한 집 한 집.",""
"가가호호","from door to door","","집집마다.",""
"가감","addition and subtraction; adjustment","","더하거나 뺌.",""
"가감승제","addition, subtraction, multiplication and division","","더하기, 빼기, 곱하기, 나누기의 계산.",""
"가감하다","add and subtract; adjust","","더하거나 빼다.",""
"가객","singer","","(옛날에) 시를 잘 짓거나 노래를 잘하는 사람.",""
"가건물","temporary building; makeshift building","","임시로 사용하기 위해 지은 건물.",""
"가겟집","shop; store","","가게를 차려 장사를 하는 집.",""
"가격","hitting; striking","","손이나 주먹, 몽둥이 등으로 치거나 때림.",""
"가격","price","","물건의 가치를 돈으로 나타낸 것.",""
"가격표","price list; price table","","상품의 가격이나 서비스의 비용을 쉽게 볼 수 있도록 적어 놓은 표.",""
"가격하다","hit; strike","","손이나 주먹, 몽둥이 등으로 치거나 때리다.",""
"가결","passage; approval","","회의에 제출된 안건을 좋다고 인정하여 결정함.",""
"가결되다","be passed; be approved","","회의에 제출된 안건이 좋다고 인정되어 결정되다.",""
"가결하다","pass; approve","","회의에 제출된 안건을 좋다고 인정하여 결정하다.",""
"가계","family; household","","경제 단위로서의 가정.",""
"가계","lineage; family","","조상에서부터 후손으로 이어지는 한 집안.",""
"가계부","household account book","","집안 살림의 수입과 지출을 기록하는 책.",""
"가계비","household expenses; household budget","","한 집안이 살아가는 데 드는 비용.",""
"가계약","provisional contract","","임시로 하는 계약.",""
"가곡","Korean art song","","시를 피리, 가야금, 거문고 등 전통 악기에 맞춰서 노래하는 한국의 전통 성악곡.",""
"가곡집","collection of songs","","가곡을 모아 놓은 책이나 음반.",""
"가공","fabrication; fiction","","사실이 아닌 것을 거짓이나 상상으로 만들어 냄.",""
"가공","processing","","기술이나 힘 등을 이용해 원료나 재료를 새로운 제품으로 만듦.",""
"가공되다","be processed","","기술이나 힘 등에 의해 원료나 재료가 새로운 제품으로 만들어지다.",""
"가공법","processing method","","식품이나 물품 등을 가공하는 방법.",""
"가공성","processability","","기술이나 힘 등에 의해 원료나 재료가 새로운 제품으로 만들어질 수 있는 성질.",""
"가공식품","processed food","","저장과 조리가 편리하도록 원료를 특별한 방법으로 가공하여 새롭게 만든 먹을거리.",""
"가공업","processing industry","","기술이나 힘 등을 이용해 원료나 재료를 새로운 제품으로 만드는 공업.",""
"가공인물","fictional character","","실제로는 존재하지 않는, 상상으로 만들어 낸 인물.",""
"가공적","being fictitious; being fictive","","사실이 아닌 것을 거짓이나 상상으로 만들어 낸 것.",""
"가공적","fabricated; fictional","","사실이 아닌 것을 거짓이나 상상으로 만들어 낸.",""
"가공품","processed goods","","원료나 재료를 가공하여 새롭게 만들어 낸 제품.",""
"가공하다","create","","사실이 아닌 것을 거짓이나 상상으로 만들어 내다.",""
"가공하다","process","","기술이나 힘 등을 이용해 원료나 재료를 새로운 제품으로 만들다.",""
"가공하다","terrifying; fearful","","놀라거나 두려워할 만하다.",""
"가관","sight; being ridiculous","","(비웃는 말로) 행동이나 모습 등이 마음에 들지 않거나 우스움.",""
"가교","bridging","","다리를 놓음.",""
"가교","temporary bridge","","임시로 만들어 놓은 다리.",""
"가구","furniture","","집 안에서 쓰이는 침대, 옷장, 식탁 등과 같은 도구.",""
"가구","household","","한 집에서 함께 사는 사람들의 집단.",""
"가구재","furniture materials","","가구를 만드는 재료.",""
"가구점","furniture store","","가구를 파는 가게.",""
"가극","opera","","대사를 음악 연주에 맞추어 노래로 부르는 서양식 연극.",""
"가극단","opera company; opera troupe","","가극을 전문으로 공연하는 단체.",""
"가급적","if possible","","할 수 있거나 가능한 것.",""
"가까스로","with difficulty","","매우 어렵게 힘을 들여.",""
"가까워지다","approach; draw near","","어느 한 곳에서 다른 곳까지의 거리가 짧아지다.",""
"가까이","being closely","","멀지 않고 가까운 곳.",""
"가까이","closely","","거리가 멀지 않게.",""
"가까이하다","get along; mix with; associate with","","친하게 지내다.",""
"가꾸다","cultivate; grow","","식물이 잘 자라도록 보살피다.",""
