"당황하다","embarrassed; bewildered; disconcerted","","놀라거나 매우 급하여 어떻게 해야 할지를 모르다.",""
"닻","anchor","","배가 멈추어 있도록 하기 위하여 줄에 매어 물 밑바닥에 가라앉히는 갈고리 모양의 쇠붙이.",""
"닻줄","rope","","밧줄이나 쇠줄로 되어 있는 닻을 매다는 줄.",""
"닿다","attach; touch","","어떤 것이 다른 어떤 것에 가까이 가서 붙게 되다.",""
"닿소리","consonant","","목, 입, 혀 등의 발음 기관에 의하여 장애를 받으면서 나는 소리.",""
"대","bamboo","","단단하고 속이 빈 곧은 줄기에 두드러진 마디가 있으며, 가늘고 긴 잎을 가진 키 큰 식물.",""
"대","big; large","","크기에 따라 큰 것, 중간 것, 작은 것으로 구분하였을 때, 가장 큰 것.",""
"대","dae","","화살 등과 같이 가늘고 긴 물건을 세는 단위.",""
"대","generation","","가족이나 민족의 이어진 세대의 수를 세는 단위.",""
"대","lineage; family tree","","한 집안에 조상으로부터 이어져 내려오는 혈통과 계보.",""
"대","stand; holder; rest","","'받침이 되는 시설'의 뜻을 나타내는 말.",""
"대","stem","","키가 큰 식물의 속이 비고 꼿꼿한 줄기.",""
"대","university; college","","‘대학교’의 뜻을 나타내는 말.",""
"대","versus","","두 대상이 서로 마주 대하거나 겨루는 상태임을 나타내는 말.",""
"대가","master; guru; expert","","전문 분야에서 능력이 뛰어나 권위를 인정받는 사람.",""
"대가","price; payment","","물건의 값으로 내는 돈.",""
"대가리","head","","동물의 머리.",""
"대가족","large family","","식구가 많은 가족.",""
"대각선","diagonal; diagonal line","","다각형에서 서로 이웃하지 않는 두 꼭짓점을 잇는 직선. 또는 다면체에서 같은 면 위에 있지 않은 두 꼭짓점을 잇는 직선.",""
"대갈장군","man with a big head","","(놀리는 말로) 머리가 큰 사람.",""
"대갈통","head","","(속된 말로) 사람의 머리.",""
"대감","His Excellency","","(높이는 말로) 조선 시대의 높은 벼슬아치.",""
"대갓집","distinguished family; wealthy family","","대대로 큰 권세와 부를 가진 큰 집. 또는 그런 집안.",""
"대강","outline; summary; general features","","자세하지 않고 간단한 줄거리.",""
"대강","roughly","","자세히 하지 않고 간단하게.",""
"대강당","main auditorium; main hall","","많은 사람이 들어갈 수 있는 큰 강당.",""
"대강대강","being rough; being broad","","자세히 하지 않고 간단하게.",""
"대개","generally; usually","","일반적으로.",""
"대개","most; majority","","거의 전부.",""
"대거","great number; large number","","한꺼번에 많은 수.",""
"대거","in a group; in great numbers","","한꺼번에 많이.",""
"대걸레","mop","","긴 막대 자루가 달린 걸레.",""
"대검","Supreme Prosecutors' Office","","대법원에 대응하여 설치된 검찰의 최고 기관.",""
"대검","sword","","무기로 사용하는 큰 칼.",""
"대검찰청","Supreme Prosecutors' Office","","대법원에 대응하여 설치된 검찰의 최고 기관.",""
"대게","snow crab; wary crab; queen crab","","껍데기의 가장자리에 작은 가시들이 나 있으며 다리가 대나무처럼 긴 게.",""
"대견스럽다","rather admirable; rather laudable","","마음에 들고 자랑스러운 데가 있다.",""
"대견하다","admirable; laudable","","마음에 들고 자랑스럽다.",""
"대결","contest; confrontation","","둘이 서로 맞서서 우열이나 승패를 가림.",""
"대결산","settlement of accounts; balancing accounts","","상반기, 하반기가 끝날 때나 연말에 정리하는 의미에서 하는 결산.",""
"대결상","confrontational scene","","대결하는 모습.",""
"대결장","stage for contest; arena for fight","","대결을 하는 곳.",""
"대결하다","compete; fight; contest; confront","","둘이 서로 맞서서 우열이나 승패를 가리다.",""
"대경실색","astonishment","","몹시 놀라서 얼굴이 하얗게 됨.",""
"대경실색하다","turn pale from astonishment","","몹시 놀라 얼굴빛이 하얗게 되다.",""
"대계","grand plan","","큰 계획.",""
"대계","series; outline; compendium","","큰 주제에 관련된 글이나 자료를 모아서 여러 권으로 엮은 책.",""
"대공","being antiaircraft","","공중의 목표물을 상대함.",""
"대공사","large-scale construction; huge construction project","","규모가 큰 공사.",""
"대공원","large public park","","사람들이 쉬고 즐길 수 있도록 자연 경관과 문화 시설, 놀이 기구 등을 갖추어 놓은 큰 공원.",""
"대공황","global depression","","세계적으로 일어나는 큰 규모의 경제 공황.",""
"대과업","big task; great undertaking","","마땅히 해야 하는 큰 일.",""
"대관","space rental","","경기장, 공연장, 극장, 미술관 등을 빌리거나 빌려줌.",""
"대관령","Daegwallyeong Pass","","한국의 강원도에 있는 고개. 태백산맥을 넘는 고개의 하나로 영동과 영서 지방을 잇는 관문이다. 부근은 고랭지 농업과 목축업으로 유명하고 스키장이 많다.",""
"대관료","rental fee","","경기장, 공연장, 극장, 미술관 등을 빌리는 대가로 내는 돈.",""
"대관식","coronation ceremony","","서양에서, 새로 왕위에 오른 임금이 백성들 앞에서 처음으로 왕관을 쓰며 임금이 되었음을 알리는 의식.",""
"대관절","come to the point","","여러 말 할 것 없이 중요한 점만 말해서.",""
"대괄호","square bracket","","언어에서, 괄호 안에 또 괄호를 쓸 때 바깥쪽의 괄호 대신 쓰거나, 고유어에 대응하는 한자어를 함께 보이거나, 원문에 대한 이해를 돕기 위해 설명이나 논평 등을 덧붙일 때 쓰는 문장 부호.",""
"대교","large bridge","","큰 다리.",""
"대구","cod","","엷은 회갈색에 배는 흰색이고 입이 크며 비늘이 작고 둥근 바닷물고기.",""
"대구","Daegu","","영남 지방의 중앙부에 있는 광역시. 섬유 공업 등 각종 공업이 발달하였고 사과 산지로도 유명하다.",""
"대국화","turning into a strong nation","","강한 힘을 가진 나라로 변화함.",""
"대군","big army; large force","","병사의 수가 많은 군대.",""
"대군","royal prince","","(옛날에) 왕의 정식 부인이 낳은 아들.",""
"대굴대굴","rolling","","작은 물건이 계속 구르는 모양.",""
"대권","sovereignty; governing power","","국가의 원수가 가지는 나라를 다스리는 법적 권한.",""
"대궐","daegwol","","(옛날에) 왕이 살던 집.",""
"대규모","being large-scale; being large-sized","","어떤 것의 크기나 범위가 큼.",""
"대극장","big theater; grand theater","","규모가 큰 극장.",""
"대금","daegeum","","대나무에 13개의 구멍을 뚫어서 만든, 입술에 가로로 대고 부는 한국의 전통 악기.",""
"대금","price; money; payment","","물건이나 일의 값으로 지불하는 돈.",""
"대기","atmosphere","","지구를 둘러싸고 있는 모든 공기.",""
"대기","waiting","","어떤 때나 기회를 기다림.",""
"대기권","atmosphere","","대기가 지구를 둘러싸고 있는 범위.",""
"대기만성","late bloomer","","큰 그릇을 만드는 데는 시간이 오래 걸린다는 뜻으로 크게 될 사람은 많은 노력을 한 끝에 늦게 성공함.",""
"대기시키다","make somebody or something wait","","어떤 때나 기회를 기다리게 하다.",""
"대기실","waiting room","","때나 순서를 기다리는 사람들이 잠시 머물 수 있게 마련한 장소.",""
"대기업","large enterprise; conglomerate; big business","","자본이나 직원의 수가 많은, 큰 규모의 기업.",""
"대기층","layers of atmosphere","","우주에 있는 행성이나 위성 등을 둘러싸고 있는 기체의 층.",""
"대기하다","wait","","어떤 때나 기회를 기다리다.",""
"대길하다","auspicious","","운이나 징조가 아주 좋다.",""
"대꾸","reply; answering back","","남의 말을 듣고 반응하여 하는 말. 짧은 대답.",""
"대꾸하다","reply; answer","","남의 말을 듣고 반응하여 말을 하다. 짧게 대답하다.",""
"대나무","bamboo","","줄기가 곧고 마디가 있으며 속이 비고, 잎이 가늘고 빳빳한 높이 30미터 정도의 늘 푸른 식물.",""
"대남","being associated with South Korea; being connected with South Korea","","남한에 대한 것. 또는 남한을 대상으로 하는 것.",""
"대납","payment by proxy","","돈을 남을 대신하여 냄.",""
"대납하다","pay money for somebody","","돈을 남을 대신하여 내다.",""
"대낮","bright day; broad daylight","","해가 하늘 높이 떠있어 환하게 밝은 낮.",""
"대내","being domestic; being internal","","내부 또는 나라 안에 관계됨.",""
"대내외","being domestic and foreign; being home and abroad; being internal and external","","사회나 나라 등의 안과 밖에 모두 관계됨.",""
"대내외적","being home and abroad; being internal and external","","사회나 나라 등의 안과 밖에 모두 관계됨.",""
"대내외적","internal and external","","사회나 나라 등의 안과 밖에 모두 관계되는.",""
"대뇌","cerebrum","","뇌의 대부분을 차지하며 표면에 주름이 많은, 좌우 한 쌍을 이룬 기관.",""
"대님","daenim","","남자들이 한복 바지를 입은 뒤에 그 가랑이의 끝을 접어서 발목에 단단히 매는 끈.",""
"대다","be on time","","정해진 시간에 닿거나 맞추다.",""
